Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,lineup_rating
1,4852565135,calebzsnyder,0,206.86002,DST Ravens  FLEX George Pickens QB Jared Goff RB Christian McCaffrey RB Breece Hall TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Jameson Williams WR Rome Odunze,106.55
2,4852356677,trh1010,0,204.36002,DST Colts  FLEX Ja'Marr Chase QB Mac Jones RB Christian McCaffrey RB Javonte Williams TE Harold Fannin Jr. WR CeeDee Lamb WR Davante Adams WR Rome Odunze,126.19999999999999
3,4853930626,mbhurls,0,200.76,DST Cowboys  FLEX De'Von Achane QB Jared Goff RB Jahmyr Gibbs RB James Cook TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Jaxon Smith-Njigba WR DeAndre Hopkins,102.25000000000001
4,4853845501,klegldb06,0,198.86002,DST Rams  FLEX Dylan Sampson QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Trey McBride WR Malik Nabers WR Tetairoa McMillan WR Rome Odunze,126.8
5,4851706072,crazyjay999,0,198.28,DST Rams  FLEX Elic Ayomanor QB Caleb Williams RB Christian McCaffrey RB Jahmyr Gibbs TE Juwan Johnson WR CeeDee Lamb WR Malik Nabers WR Rome Odunze,124.75
6,4850397604,Ribby_Paultz,0,196.5,DST Dolphins  FLEX Amon-Ra St. Brown QB Russell Wilson RB James Cook RB Tony Pollard TE Jake Tonges WR Malik Nabers WR A.J. Brown WR George Pickens,88.7
7,4851519612,BigSack90,0,195.8,DST Seahawks  FLEX Tyquan Thornton QB Lamar Jackson RB Christian McCaffrey RB Jonathan Taylor TE Harold Fannin Jr. WR Malik Nabers WR Tee Higgins WR Jaxon Smith-Njigba,124.25
8,4854423353,MAA1985,0,192.70001,DST Patriots  FLEX Noah Fant QB Lamar Jackson RB Jonathan Taylor RB James Cook TE Jake Ferguson WR Puka Nacua WR Tyreek Hill WR Jaxon Smith-Njigba,100.9
9,4854400864,dwilliams11,0,192.06,DST Titans  FLEX Ja'Marr Chase QB Jared Goff RB Kenneth Walker III RB TreVeyon Henderson TE Harold Fannin Jr. WR CeeDee Lamb WR Amon-Ra St. Brown WR Kayshon Boutte,95.35000000000001
10,4854400418,eroediger,0,191.76001,DST Titans  FLEX Garrett Wilson QB Mac Jones RB Alvin Kamara RB Chuba Hubbard TE Harold Fannin Jr. WR Puka Nacua WR Malik Nabers WR Amon-Ra St. Brown,109.85000000000001
