Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4865634029,pkristensen,0,212.02,DST Vikings  FLEX Jordan Mason QB Caleb Williams RB Christian McCaffrey RB Bijan Robinson TE Hunter Henry WR Ricky Pearsall WR Rome Odunze WR Michael Pittman Jr.,,Rome Odunze,WR,70.13%,15.2
2,4857837196,FullNauss,0,207.78,DST Browns  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Jake Ferguson WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Jordan Mason,RB,62.98%,26.6
3,4865441957,BMunney,0,205.31999,DST Vikings  FLEX Christian McCaffrey QB Caleb Williams RB Tony Pollard RB Jordan Mason TE Jake Ferguson WR Puka Nacua WR Rome Odunze WR Keenan Allen,,Kenneth Walker III,RB,61.09%,18
4,4862322074,wiseman1016,0,199.68,DST Vikings  FLEX Christian McCaffrey QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Jaxon Smith-Njigba WR Garrett Wilson WR Keenan Allen,,Christian McCaffrey,FLEX,52.10%,24
5,4858194426,egale007,0,199.32,DST Vikings  FLEX Christian McCaffrey QB Caleb Williams RB Kenneth Walker III RB Jordan Mason TE Juwan Johnson WR Puka Nacua WR Rome Odunze WR Keenan Allen,,CeeDee Lamb,WR,47.39%,0
6,4863510298,fedjtable,0,199.12,DST Colts  FLEX Jonathan Taylor QB Drake Maye RB Christian McCaffrey RB Jordan Mason TE Jake Ferguson WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,Keenan Allen,WR,46.75%,19.5
7,4865345085,Welt84,0,198.31999,DST Colts  FLEX Travis Etienne Jr. QB Drake Maye RB Jonathan Taylor RB Jordan Mason TE Jake Ferguson WR Nico Collins WR George Pickens WR Ricky Pearsall,,Marcus Mariota,QB,43.91%,21.28
8,4863895306,Mjharks22,0,195.08,DST Jets  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Ricky Pearsall,,Bijan Robinson,FLEX,32.90%,16.1
9,4861245847,romanx12,0,194.88,DST Jaguars  FLEX Jonathan Taylor QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Juwan Johnson,TE,29.32%,11.1
9,4863867877,Neholio,0,194.88,DST Jaguars  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Jaxon Smith-Njigba,WR,28.83%,20.6
9,4864981344,loukabatnik,0,194.88,DST Jaguars  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Trey McBride,TE,27.32%,15.3
9,4865135695,Silent1Bob,0,194.88,DST Jaguars  FLEX Jordan Mason QB Marcus Mariota RB Jonathan Taylor RB Kenneth Walker III TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Jonathan Taylor,RB,24.77%,35.8
13,4865131558,bostonredsoxs1505,0,194.78,DST Vikings  FLEX Kenneth Walker III QB Marcus Mariota RB Bijan Robinson RB Jordan Mason TE Jake Ferguson WR Puka Nacua WR Jaxon Smith-Njigba WR Rome Odunze,,Puka Nacua,WR,20.27%,25.8
14,4862662452,CoryLaww,0,194.28,DST Steelers  FLEX Christian McCaffrey QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Jaxon Smith-Njigba WR Rome Odunze WR Keenan Allen,,Dak Prescott,QB,16.47%,14.04
15,4856335207,Dogwood1776,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Tyler Warren,TE,15.21%,6.8
15,4856377413,lparkhill,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Caleb Williams,QB,13.15%,29.12
15,4856421720,Rachet45,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Bengals ,DST,11.37%,-1
15,4857391969,BDholla89,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Packers ,DST,11.12%,8
15,4857609246,TheDistrict,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Falcons ,DST,10.89%,3
15,4857800881,JTMoney619,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Javonte Williams,RB,10.70%,13.2
15,4857863284,Mocexx,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Raiders ,DST,10.17%,-1
15,4857915989,josephlavin,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Ricky Pearsall,WR,9.99%,22.7
15,4858095130,msmith3487,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Jake Ferguson,TE,9.37%,21.2
15,4858124848,killab2482,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Drake Maye,QB,7.87%,21.22
