position,name + id,name,id,roster position,salary,game info,teamabbrev,avgpointspergame,team,projpts,projown
RB,Christian McCaffrey (40058244),Christian McCaffrey,40058244,RB/FLEX,8200,ARI@SF 09/21/2025 04:25PM ET,SF,22.95,49ers,23.4,28.2
WR,Ja'Marr Chase (40058534),Ja'Marr Chase,40058534,WR/FLEX,8100,CIN@MIN 09/21/2025 01:00PM ET,CIN,22.05,Bengals,16.5,7.5
WR,CeeDee Lamb (40058536),CeeDee Lamb,40058536,WR/FLEX,8000,DAL@CHI 09/21/2025 04:25PM ET,DAL,22.1,Cowboys,21.5,21.7
RB,Bijan Robinson (40058246),Bijan Robinson,40058246,RB/FLEX,7900,ATL@CAR 09/21/2025 01:00PM ET,ATL,25.1,Falcons,23.4,21.8
RB,Saquon Barkley (40058248),Saquon Barkley,40058248,RB/FLEX,7800,LAR@PHI 09/21/2025 01:00PM ET,PHI,17.9,Eagles,17.7,11.9
WR,Puka Nacua (40058538),Puka Nacua,40058538,WR/FLEX,7700,LAR@PHI 09/21/2025 01:00PM ET,LAR,26.85,Rams,19.9,16.9
WR,Justin Jefferson (40058540),Justin Jefferson,40058540,WR/FLEX,7500,CIN@MIN 09/21/2025 01:00PM ET,MIN,12.95,Vikings,16.5,10.9
WR,Nico Collins (40058542),Nico Collins,40058542,WR/FLEX,7300,HOU@JAX 09/21/2025 01:00PM ET,HOU,9.85,Texans,16.4,6.3
RB,Jonathan Taylor (40058250),Jonathan Taylor,40058250,RB/FLEX,7200,IND@TEN 09/21/2025 01:00PM ET,IND,22.65,Colts,17.0,18.2
RB,Bucky Irving (40058252),Bucky Irving,40058252,RB/FLEX,7100,NYJ@TB 09/21/2025 01:00PM ET,TB,16.3,Buccaneers,17.7,10.3
RB,Josh Jacobs (40058254),Josh Jacobs,40058254,RB/FLEX,7000,GB@CLE 09/21/2025 01:00PM ET,GB,14.2,Packers,15.0,7.6
QB,Jayden Daniels (40058154),Jayden Daniels,40058154,QB,7000,LV@WAS 09/21/2025 01:00PM ET,WAS,19.91,Commanders,0.0,0.0
RB,Chase Brown (40058256),Chase Brown,40058256,RB/FLEX,6900,CIN@MIN 09/21/2025 01:00PM ET,CIN,10.8,Bengals,15.1,6.9
QB,Jalen Hurts (40058155),Jalen Hurts,40058155,QB,6800,LAR@PHI 09/21/2025 01:00PM ET,PHI,17.91,Eagles,22.6,4.7
WR,Ladd McConkey (40058544),Ladd McConkey,40058544,WR/FLEX,6800,DEN@LAC 09/21/2025 04:05PM ET,LAC,11.6,Chargers,15.6,10.6
RB,Ashton Jeanty (40058258),Ashton Jeanty,40058258,RB/FLEX,6700,LV@WAS 09/21/2025 01:00PM ET,LV,9.7,Raiders,14.8,3.0
QB,Baker Mayfield (40058156),Baker Mayfield,40058156,QB,6600,NYJ@TB 09/21/2025 01:00PM ET,TB,21.24,Buccaneers,21.6,2.5
WR,Mike Evans (40058546),Mike Evans,40058546,WR/FLEX,6600,NYJ@TB 09/21/2025 01:00PM ET,TB,10.35,Buccaneers,15.3,9.2
QB,Joe Burrow (40058157),Joe Burrow,40058157,QB,6500,CIN@MIN 09/21/2025 01:00PM ET,CIN,7.93,Bengals,0.0,0.0
WR,Jaxon Smith-Njigba (40058548),Jaxon Smith-Njigba,40058548,WR/FLEX,6500,NO@SEA 09/21/2025 04:05PM ET,SEA,22.35,Seahawks,17.5,22.5
RB,James Conner (40058260),James Conner,40058260,RB/FLEX,6500,ARI@SF 09/21/2025 04:25PM ET,ARI,13.3,Cardinals,13.6,2.9
