Id,Name,Position,Team,ProjPts,ProjOwn
40059315,Denver Broncos,DST,Broncos,7.20,1.30
40059316,Los Angeles Chargers,DST,Chargers,6.90,1.00
40059328,Las Vegas Raiders,DST,Raiders,3.60,8.10
40059330,New York Jets,DST,Jets,4.60,5.00
40059323,New England Patriots,DST,Patriots,6.40,3.20
40059310,Indianapolis Colts,DST,Colts,7.40,8.00
40059318,Jacksonville Jaguars,DST,Jaguars,5.50,4.00
40059321,Houston Texans,DST,Texans,7.70,2.30
40059324,Tennessee Titans,DST,Titans,5.20,2.50
40059327,Cincinnati Bengals,DST,Bengals,6.30,4.80
40059331,Cleveland Browns,DST,Browns,3.90,2.50
40059319,Pittsburgh Steelers,DST,Steelers,7.00,5.10
40059308,Tampa Bay Buccaneers,DST,Buccaneers,8.70,3.00
40059311,Atlanta Falcons,DST,Falcons,8.10,3.50
40059325,Carolina Panthers,DST,Panthers,3.50,1.40
40059329,New Orleans Saints,DST,Saints,4.10,2.00
40059313,San Francisco 49ers,DST,49ers,7.20,1.20
40059317,Arizona Cardinals,DST,Cardinals,6.60,1.30
40059326,Los Angeles Rams,DST,Rams,5.10,1.70
40059307,Seattle Seahawks,DST,Seahawks,8.30,8.30
40059314,Washington Commanders,DST,Commanders,6.30,6.30
40059320,Dallas Cowboys,DST,Cowboys,6.20,3.20
40059312,Philadelphia Eagles,DST,Eagles,7.10,1.60
40059322,Chicago Bears,DST,Bears,5.40,1.50
40059306,Green Bay Packers,DST,Packers,10.70,11.50
40059309,Minnesota Vikings,DST,Vikings,9.10,5.90
40059136,Eric Saubert,TE,Seahawks,4.20,0.00
40059186,Albert Okwuegbunam Jr.,TE,Raiders,0.00,0.00
40058268,Javonte Williams,RB,Cowboys,17.10,13.00
40058233,Brett Rypien,QB,Bengals,0.00,0.00
40058562,Courtland Sutton,WR,Broncos,13.80,6.40
40058592,Jerry Jeudy,WR,Browns,10.40,1.90
40059230,Donald Parham Jr.,TE,Steelers,0.00,0.00
40058612,Keenan Allen,WR,Chargers,13.90,17.40
40058984,DeAndre Carter,WR,Browns,3.30,0.00
40058243,Easton Stick,QB,Falcons,0.00,0.00
40058356,Austin Ekeler,RB,Commanders,0.00,0.00
40058159,Justin Herbert,QB,Chargers,21.80,9.10
40058746,Skyy Moore,WR,49ers,3.70,0.00
40058732,Justin Watson,WR,Texans,0.00,0.00
40058692,Marquez Valdes-Scantling,WR,49ers,4.80,0.00
40058982,Mecole Hardman,WR,Packers,0.00,0.00
40058656,Hunter Renfrow,WR,Panthers,9.40,1.10
40058390,Brittain Brown,RB,Bears,0.00,0.00
40058346,Zamir White,RB,Raiders,6.40,0.00
40058209,Jarrett Stidham,QB,Broncos,0.00,0.00
40058254,Josh Jacobs,RB,Packers,15.00,7.60
40058726,Mack Hollins,WR,Patriots,5.20,0.10
40059146,Foster Moreau,TE,Saints,0.00,0.00
40058434,Ameer Abdullah,RB,Colts,0.00,0.00
40058556,Davante Adams,WR,Rams,15.60,12.50
40058204,Case Keenum,QB,Bears,0.00,0.00
40058608,Stefon Diggs,WR,Patriots,10.50,1.60
40059262,Quintin Morris,TE,Jaguars,0.00,0.00
40058432,Salvon Ahmed,RB,Colts,0.00,0.00
40059064,Mike Gesicki,TE,Bengals,6.10,0.60
40058830,Trent Sherfield Sr.,WR,Broncos,4.30,0.00
40058228,Skylar Thompson,QB,Steelers,0.00,0.00
40058962,Erik Ezukanma,WR,Jaguars,0.00,0.00
40059130,Durham Smythe,TE,Bears,4.30,0.00
40058818,Cedrick Wilson Jr.,WR,Saints,0.00,0.00
40058308,Raheem Mostert,RB,Raiders,3.50,0.00
40058186,Teddy Bridgewater,QB,Buccaneers,0.00,0.00
40059304,Hunter Long,TE,Jaguars,4.20,0.00
40058966,Braxton Berrios,WR,Texans,3.20,0.00
40059212,Jeremy Ruckert,TE,Jets,4.90,0.00
40059180,Lawrence Cager,TE,Commanders,0.00,0.00
40058182,Joe Flacco,QB,Browns,14.10,0.60
40058558,Garrett Wilson,WR,Jets,16.00,10.60
40058378,Michael Carter,RB,Cardinals,0.00,0.00
40058270,Breece Hall,RB,Jets,14.90,5.60
40059082,Tyler Conklin,TE,Chargers,5.10,0.60
40058240,Bailey Zappe,QB,Browns,0.00,0.00
40058177,Mac Jones,QB,49ers,17.30,2.60
40058670,Kendrick Bourne,WR,49ers,6.90,0.30
40058294,Rhamondre Stevenson,RB,Patriots,11.80,1.80
40059040,Hunter Henry,TE,Patriots,9.60,2.80
40058578,Jakobi Meyers,WR,Raiders,15.00,11.90
40058512,Pierre Strong Jr.,RB,Packers,0.00,0.00
40059046,Jonnu Smith,TE,Steelers,8.00,1.30
40058606,Michael Pittman Jr.,WR,Colts,12.60,3.70
40059216,Jelani Woods,TE,Jets,0.00,0.00
40058210,Sam Ehlinger,QB,Broncos,0.00,0.00
40059188,Mo Alie-Cox,TE,Colts,4.30,0.10
40058250,Jonathan Taylor,RB,Colts,17.00,18.20
40058630,Alec Pierce,WR,Colts,7.60,1.20
40059218,Kylen Granson,TE,Eagles,4.40,0.00
40058850,Ashton Dulin,WR,Colts,3.30,0.00
40059060,Luke Farrell,TE,49ers,5.50,0.00
40058272,Travis Etienne Jr.,RB,Jaguars,15.40,3.90
40058762,Zay Jones,WR,Cardinals,5.10,0.00
40058170,Trevor Lawrence,QB,Jaguars,16.10,2.20
40058938,Tim Jones,WR,Vikings,3.30,0.00
40059008,Jamal Agnew,WR,Falcons,0.00,0.00
40059044,Evan Engram,TE,Broncos,4.60,1.00
40058614,Christian Kirk,WR,Texans,8.80,0.70
40058842,Chris Moore,WR,Commanders,4.00,0.00
40058500,Dare Ogunbowale,RB,Texans,5.30,0.00
40058215,Jeff Driskel,QB,Raiders,0.00,0.00
40058326,Dameon Pierce,RB,Texans,3.80,0.00
40058187,Davis Mills,QB,Texans,0.00,0.00
40059268,Brevin Jordan,TE,Texans,0.00,0.00
40058736,Tyler Johnson,WR,Jets,5.50,0.30
40058654,Brandin Cooks,WR,Saints,6.90,0.00
40058542,Nico Collins,WR,Texans,16.40,6.30
40058844,Phillip Dorsett II,WR,Raiders,0.00,0.00
40059054,Chig Okonkwo,TE,Titans,8.30,2.40
40058866,Treylon Burks,WR,Titans,0.00,0.00
40058237,Malik Willis,QB,Packers,0.00,0.00
40058436,Julius Chestnut,RB,Titans,4.90,0.00
40059084,Austin Hooper,TE,Patriots,4.70,0.30
40058408,Hassan Haskins,RB,Chargers,3.70,0.00
40059250,Drew Sample,TE,Bengals,4.70,0.00
40058157,Joe Burrow,QB,Bengals,0.00,0.00
