Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (40142470),Christian McCaffrey,40142470,RB/FLEX,8500,JAX@SF 09/28/2025 04:05PM ET,SF,23.3
RB,Bijan Robinson (40142472),Bijan Robinson,40142472,RB/FLEX,8200,WAS@ATL 09/28/2025 01:00PM ET,ATL,22.1
WR,Puka Nacua (40142716),Puka Nacua,40142716,WR/FLEX,7900,IND@LAR 09/28/2025 04:05PM ET,LAR,26.5
QB,Josh Allen (40142394),Josh Allen,40142394,QB,7700,NO@BUF 09/28/2025 01:00PM ET,BUF,25.53
RB,Jahmyr Gibbs (40142474),Jahmyr Gibbs,40142474,RB/FLEX,7700,CLE@DET 09/28/2025 01:00PM ET,DET,20.43
RB,Saquon Barkley (40142476),Saquon Barkley,40142476,RB/FLEX,7600,PHI@TB 09/28/2025 01:00PM ET,PHI,15.1
RB,Jonathan Taylor (40142478),Jonathan Taylor,40142478,RB/FLEX,7500,IND@LAR 09/28/2025 04:05PM ET,IND,27.03
QB,Lamar Jackson (40142395),Lamar Jackson,40142395,QB,7500,BAL@KC 09/28/2025 04:25PM ET,BAL,27.56
WR,Nico Collins (40142718),Nico Collins,40142718,WR/FLEX,7400,TEN@HOU 09/28/2025 01:00PM ET,HOU,15.37
WR,Amon-Ra St. Brown (40142720),Amon-Ra St. Brown,40142720,WR/FLEX,7300,CLE@DET 09/28/2025 01:00PM ET,DET,23.8
RB,Derrick Henry (40142480),Derrick Henry,40142480,RB/FLEX,7200,BAL@KC 09/28/2025 04:25PM ET,BAL,15.73
RB,James Cook III (40142482),James Cook III,40142482,RB/FLEX,7100,NO@BUF 09/28/2025 01:00PM ET,BUF,24.83
QB,Jayden Daniels (40142396),Jayden Daniels,40142396,QB,7000,WAS@ATL 09/28/2025 01:00PM ET,WAS,19.91
WR,Malik Nabers (40142722),Malik Nabers,40142722,WR/FLEX,7000,LAC@NYG 09/28/2025 01:00PM ET,NYG,18.7
RB,Bucky Irving (40142484),Bucky Irving,40142484,RB/FLEX,6900,PHI@TB 09/28/2025 01:00PM ET,TB,15.5
WR,Emeka Egbuka (40142724),Emeka Egbuka,40142724,WR/FLEX,6800,PHI@TB 09/28/2025 01:00PM ET,TB,17
QB,Jalen Hurts (40142397),Jalen Hurts,40142397,QB,6700,PHI@TB 09/28/2025 01:00PM ET,PHI,21.95
WR,Zay Flowers (40142726),Zay Flowers,40142726,WR/FLEX,6700,BAL@KC 09/28/2025 04:25PM ET,BAL,16.43
WR,Mike Evans (40142728),Mike Evans,40142728,WR/FLEX,6600,PHI@TB 09/28/2025 01:00PM ET,TB,11.33
WR,Ladd McConkey (40142730),Ladd McConkey,40142730,WR/FLEX,6500,LAC@NYG 09/28/2025 01:00PM ET,LAC,10.43
QB,Baker Mayfield (40142398),Baker Mayfield,40142398,QB,6500,PHI@TB 09/28/2025 01:00PM ET,TB,20.07
QB,Jared Goff (40142399),Jared Goff,40142399,QB,6400,CLE@DET 09/28/2025 01:00PM ET,DET,20.51
WR,A.J. Brown (40142732),A.J. Brown,40142732,WR/FLEX,6400,PHI@TB 09/28/2025 01:00PM ET,PHI,11.8
QB,Justin Herbert (40142400),Justin Herbert,40142400,QB,6300,LAC@NYG 09/28/2025 01:00PM ET,LAC,23.1
RB,Kyren Williams (40142486),Kyren Williams,40142486,RB/FLEX,6300,IND@LAR 09/28/2025 04:05PM ET,LAR,14.37
WR,Rome Odunze (40142734),Rome Odunze,40142734,WR/FLEX,6300,CHI@LV 09/28/2025 04:25PM ET,CHI,21.9
