Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,cash_win,lineup_rating,cash_result
1,4852565135,calebzsnyder,0,206.86002,DST Ravens  FLEX George Pickens QB Jared Goff RB Christian McCaffrey RB Breece Hall TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Jameson Williams WR Rome Odunze,True,11.307219710687306,Win
2,4852356677,trh1010,0,204.36002,DST Colts  FLEX Ja'Marr Chase QB Mac Jones RB Christian McCaffrey RB Javonte Williams TE Harold Fannin Jr. WR CeeDee Lamb WR Davante Adams WR Rome Odunze,True,17.313821385642754,Win
3,4853930626,mbhurls,0,200.76,DST Cowboys  FLEX De'Von Achane QB Jared Goff RB Jahmyr Gibbs RB James Cook TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Jaxon Smith-Njigba WR DeAndre Hopkins,True,8.545795450724565,Win
4,4853845501,klegldb06,0,198.86002,DST Rams  FLEX Dylan Sampson QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Trey McBride WR Malik Nabers WR Tetairoa McMillan WR Rome Odunze,True,17.57585434461732,Win
5,4851706072,crazyjay999,0,198.28,DST Rams  FLEX Elic Ayomanor QB Caleb Williams RB Christian McCaffrey RB Jahmyr Gibbs TE Juwan Johnson WR CeeDee Lamb WR Malik Nabers WR Rome Odunze,True,15.721467250335772,Win
6,4850397604,Ribby_Paultz,0,196.5,DST Dolphins  FLEX Amon-Ra St. Brown QB Russell Wilson RB James Cook RB Tony Pollard TE Jake Tonges WR Malik Nabers WR A.J. Brown WR George Pickens,True,5.502181850327679,Win
7,4851519612,BigSack90,0,195.8,DST Seahawks  FLEX Tyquan Thornton QB Lamar Jackson RB Christian McCaffrey RB Jonathan Taylor TE Harold Fannin Jr. WR Malik Nabers WR Tee Higgins WR Jaxon Smith-Njigba,True,16.346315075582815,Win
8,4854423353,MAA1985,0,192.70001,DST Patriots  FLEX Noah Fant QB Lamar Jackson RB Jonathan Taylor RB James Cook TE Jake Ferguson WR Puka Nacua WR Tyreek Hill WR Jaxon Smith-Njigba,True,8.062042295694598,Win
9,4854400864,dwilliams11,0,192.06,DST Titans  FLEX Ja'Marr Chase QB Jared Goff RB Kenneth Walker III RB TreVeyon Henderson TE Harold Fannin Jr. WR CeeDee Lamb WR Amon-Ra St. Brown WR Kayshon Boutte,True,6.449531778928035,Win
10,4854400418,eroediger,0,191.76001,DST Titans  FLEX Garrett Wilson QB Mac Jones RB Alvin Kamara RB Chuba Hubbard TE Harold Fannin Jr. WR Puka Nacua WR Malik Nabers WR Amon-Ra St. Brown,True,11.871598391555603,Win
11,4854330571,W4rzy3d,0,191.14,DST Broncos  FLEX Amon-Ra St. Brown QB Jalen Hurts RB De'Von Achane RB James Cook TE Juwan Johnson WR Jameson Williams WR Ricky Pearsall WR Rome Odunze,True,7.2557870373113165,Win
12,4853436686,bleepingme,0,190.90001,DST Rams  FLEX Rome Odunze QB Drake Maye RB De'Von Achane RB Kyren Williams TE Harold Fannin Jr. WR Ja'Marr Chase WR Puka Nacua WR Calvin Ridley,True,17.333977767102336,Win
13,4854337240,Trainrec,0,190.38,DST Patriots  FLEX Hollywood Brown QB Justin Fields RB Christian McCaffrey RB Travis Etienne Jr. TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Rome Odunze,True,19.228677624303042,Win
14,4850568281,juddrfishman11,0,188.76001,DST Rams  FLEX Kyren Williams QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Jake Ferguson WR Ja'Marr Chase WR Hollywood Brown WR Rome Odunze,True,20.98228281128668,Win
14,4854027806,bigdogingram,0,188.76001,DST Rams  FLEX Marvin Harrison Jr. QB Mac Jones RB Kyren Williams RB Javonte Williams TE Jake Ferguson WR Ja'Marr Chase WR Malik Nabers WR Jaxon Smith-Njigba,True,14.653179032977922,Win
16,4852571145,epperly7,0,188.68,DST Rams  FLEX Ja'Marr Chase QB Caleb Williams RB Christian McCaffrey RB Javonte Williams TE Juwan Johnson WR Puka Nacua WR Michael Pittman Jr. WR Troy Franklin,True,15.116775806548311,Win
17,4854462066,BrohaMNcheese,0,188.45999,DST Rams  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB Kyren Williams TE Juwan Johnson WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,True,17.757261777753556,Win
18,4852326269,Sandominator,0,188.26001,DST Cardinals  FLEX Javonte Williams QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Hollywood Brown,True,19.994620119767163,Win
19,4850435197,laces.out.dan,0,188.16,DST Colts  FLEX Elic Ayomanor QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Puka Nacua WR Malik Nabers,True,19.87368183100967,Win
20,4853178066,BigCheese818,0,188.06,DST Titans  FLEX De'Von Achane QB Mac Jones RB Christian McCaffrey RB James Conner TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,True,18.160389406945196,Win
21,4845989197,chalupe71,0,187.29999,DST Rams  FLEX Saquon Barkley QB Drake Maye RB Chase Brown RB Javonte Williams TE Juwan Johnson WR Amon-Ra St. Brown WR Ricky Pearsall WR Rome Odunze,True,11.387845236525633,Win
22,4854433645,HKM1964,0,187.25998,DST Cardinals  FLEX Chris Olave QB Jared Goff RB Jahmyr Gibbs RB De'Von Achane TE Evan Engram WR Amon-Ra St. Brown WR Marvin Harrison Jr. WR Wan'Dale Robinson,True,5.602963757625588,Win
23,4854153324,grosenberry,0,187.06001,DST Rams  FLEX CeeDee Lamb QB Mac Jones RB Kyren Williams RB Chuba Hubbard TE Jake Ferguson WR Malik Nabers WR Jaxon Smith-Njigba WR Davante Adams,True,13.564734434160492,Win
24,4854402439,chriscook1979,0,186.64,DST 49ers  FLEX Ja'Marr Chase QB Dak Prescott RB Travis Etienne Jr. RB RJ Harvey TE Dalton Kincaid WR Amon-Ra St. Brown WR DK Metcalf WR Rome Odunze,True,7.638758285043373,Win
25,4854480028,momos,0,186.14001,DST Seahawks  FLEX Ja'Marr Chase QB Joe Burrow RB James Cook RB Javonte Williams TE Jake Tonges WR Tyreek Hill WR DeVonta Smith WR Rome Odunze,True,7.920947625477522,Win
26,4854473619,walkerg,0,185.66,DST Patriots  FLEX Dalton Kincaid QB Jared Goff RB James Conner RB Kyren Williams TE Sam LaPorta WR CeeDee Lamb WR Amon-Ra St. Brown WR Rome Odunze,True,8.021729532775433,Win
27,4854322113,T-Moore,0,185.56,DST Rams  FLEX Travis Etienne Jr. QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Jake Ferguson WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Chris Olave,True,20.76056261523128,Win
28,4846718285,rteagno,0,185.40001,DST Rams  FLEX Jaylen Warren QB Lamar Jackson RB Christian McCaffrey RB Kyren Williams TE Jake Ferguson WR Malik Nabers WR Calvin Ridley WR Rome Odunze,True,16.487409745799887,Win
29,4852604237,GKush,0,185.36,DST Saints  FLEX Hollywood Brown QB Mac Jones RB Christian McCaffrey RB Alvin Kamara TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Tyreek Hill,True,19.651961634954265,Win
30,4848780223,providenceroad12,0,185.20001,DST Rams  FLEX Elic Ayomanor QB Lamar Jackson RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR Malik Nabers WR Tee Higgins WR Jaxon Smith-Njigba,True,19.913994593928834,Win
31,4854442717,drumsofwar,0,184.7,DST Lions  FLEX Kenneth Walker III QB Russell Wilson RB Christian McCaffrey RB Jonathan Taylor TE Tyler Warren WR Tyreek Hill WR Davante Adams WR Michael Pittman Jr.,True,8.686890120941642,Win
32,4854128408,tzboomer,0,184.38,DST Ravens  FLEX James Cook QB Justin Fields RB Christian McCaffrey RB James Conner TE Juwan Johnson WR Malik Nabers WR Rome Odunze WR Kayshon Boutte,True,13.060824897670942,Win
33,4854200516,klarson523,0,184.28,DST Seahawks  FLEX Christian McCaffrey QB Caleb Williams RB De'Von Achane RB James Conner TE Dalton Kincaid WR Malik Nabers WR Hollywood Brown WR Rome Odunze,True,15.318339621144132,Win
34,4853883574,nuketech,0,184.16,DST Rams  FLEX Stefon Diggs QB Jared Goff RB Christian McCaffrey RB Trey Benson TE Harold Fannin Jr. WR Puka Nacua WR Amon-Ra St. Brown WR Jaxon Smith-Njigba,True,14.975681136331236,Win
35,4853567533,pfaeh,0,183.86002,DST Seahawks  FLEX Jarquez Hunter QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR Ja'Marr Chase WR Puka Nacua WR Jaxon Smith-Njigba,True,19.006957428247645,Win
36,4853037654,ualong,0,183.76001,DST Saints  FLEX Amon-Ra St. Brown QB Mac Jones RB Christian McCaffrey RB Jahmyr Gibbs TE Harold Fannin Jr. WR Puka Nacua WR Davante Adams WR Calvin Ridley,True,17.9386692108898,Win
37,4851606834,RedViper,0,183.06,DST Titans  FLEX Rome Odunze QB Mac Jones RB Christian McCaffrey RB James Conner TE Juwan Johnson WR Ja'Marr Chase WR CeeDee Lamb WR Hollywood Brown,True,18.3821096030006,Win
38,4854023192,ljuke,0,182.96,DST Patriots  FLEX Cedric Tillman QB Mac Jones RB De'Von Achane RB Kyren Williams TE Jake Ferguson WR Ja'Marr Chase WR CeeDee Lamb WR Jaxon Smith-Njigba,True,13.52442167124133,Win
